LfdArtNr;artnr1;abez1;me;basis_me;anz_basis;anz_ve;ean_me;kn_ja;wgrupnr;sort1;sort2;warennr;gewicht_gr;gewicht;sb_ja;KopfLfdNr;ArtNr;ArtBez;VarTyp;VarBez;VarFarbe;kn_art
61250;ALDI-1227-350;Nadelspiel Stahl, 3,5 mm, 20 cm;Stück;1;1.00;1.00;NULL;NULL;9;99;"        ALDI-1227-350";73199090;10;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
61336;3758-0;Pretty;kg;10;10.00;10.00;NULL;1;7;99;"               3758-0";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;0;NULL;Längsknäuel
61337;3758-01;Pretty;kg;10;10.00;10.00;4036014195711;1;7;99;"              3758-01";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;01;weiß;Längsknäuel
61338;3758-02;Pretty;kg;10;10.00;10.00;4036014195742;1;7;99;"              3758-02";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;02;hellgrau;Längsknäuel
61339;3758-03;Pretty;kg;10;10.00;10.00;4036014195773;1;7;99;"              3758-03";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;03;pfirsich;Längsknäuel
61340;3758-04;Pretty;kg;10;10.00;10.00;4036014195810;1;7;99;"              3758-04";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;04;hellbeige;Längsknäuel
61342;3758-06;Pretty;kg;10;10.00;10.00;4036014195872;1;7;99;"              3758-06";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;06;dunkelgrau;Längsknäuel
61343;3758-07;Pretty;kg;10;10.00;10.00;4036014195919;1;7;99;"              3758-07";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;07;mint;Längsknäuel
61344;3758-08;Pretty;kg;10;10.00;10.00;4036014195940;1;7;99;"              3758-08";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;08;hellblau;Längsknäuel
61345;3758-09;Pretty;kg;10;10.00;10.00;4036014195971;1;7;99;"              3758-09";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;09;violett;Längsknäuel
61346;3758-10;Pretty;kg;10;10.00;10.00;4036014196015;1;7;99;"              3758-10";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;10;petrol;Längsknäuel
61347;3758-11;Pretty;kg;10;10.00;10.00;4036014196046;1;7;99;"              3758-11";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;11;marine;Längsknäuel
61348;3758-12;Pretty;kg;10;10.00;10.00;4036014196077;1;7;99;"              3758-12";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;12;rot;Längsknäuel
61349;3758-13;Pretty;kg;10;10.00;10.00;4036014196114;1;7;99;"              3758-13";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;13;weinrot;Längsknäuel
61350;3758-14;Pretty;kg;10;10.00;10.00;4036014196145;1;7;99;"              3758-14";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;14;bernstein;Längsknäuel
61351;3758-15;Pretty;kg;10;10.00;10.00;4036014196176;1;7;99;"              3758-15";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;15;moos;Längsknäuel
61352;3758-16;Pretty;kg;10;10.00;10.00;4036014196213;1;7;99;"              3758-16";55111000;NULL;1;NULL;1615;3758-;Pretty;Farbe;16;schwarz;Längsknäuel
61357;1000-R-24;Prospekthalter Metall für Wandregal und Wollhaus;Stück;1;1.00;1.00;4036014196312;NULL;14;99;"            1000-R-24";73262000;40;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
